Pokemon,Type,Species,Height,Weight,Abilities,Catch Rate,Base Exp,Growth Rate,Gender,HP Base,Attack Base,Defense Base,Special Attack Base,Special Defense Base,Speed Base
Lotad,"Water, Grass",Water Weed Pokémon,0.5 m (1′08″),2.6 kg (5.7 lbs),"1. Swift Swim, 2. Rain Dish, Own Tempo (hidden ability)","255 (33.3% with PokéBall, full HP)",44,Medium Slow,"50% male, 50% female",40,30,30,40,50,30
Loudred,Normal,Big Voice Pokémon,1.0 m (3′03″),40.5 kg (89.3 lbs),"1. Soundproof, Scrappy (hidden ability)","120 (15.7% with PokéBall, full HP)",126,Medium Slow,"50% male, 50% female",84,71,43,71,43,48
Lucario,"Fighting, Steel",Aura Pokémon,1.2 m (3′11″),54.0 kg (119.0 lbs),"1. Steadfast, 2. Inner Focus, Justified (hidden ability)","45 (5.9% with PokéBall, full HP)",184,Medium Slow,"87.5% male, 12.5% female",70,110,70,115,70,90
Ludicolo,"Water, Grass",Carefree Pokémon,1.5 m (4′11″),55.0 kg (121.3 lbs),"1. Swift Swim, 2. Rain Dish, Own Tempo (hidden ability)","45 (5.9% with PokéBall, full HP)",216,Medium Slow,"50% male, 50% female",80,70,70,90,100,70
Lugia,"Psychic, Flying",Diving Pokémon,5.2 m (17′01″),216.0 kg (476.2 lbs),"1. Pressure, Multiscale (hidden ability)","3 (0.4% with PokéBall, full HP)",306,Slow,Genderless,106,90,130,90,154,110
Lumineon,Water,Neon Pokémon,1.2 m (3′11″),24.0 kg (52.9 lbs),"1. Swift Swim, 2. Storm Drain, Water Veil (hidden ability)","75 (9.8% with PokéBall, full HP)",161,Erratic,"50% male, 50% female",69,69,76,69,86,91
Lunala,"Psychic, Ghost",Moone Pokémon,4.0 m (13′01″),120.0 kg (264.6 lbs),1. Shadow Shield,"45 (5.9% with PokéBall, full HP)",306,Slow,Genderless,137,113,89,137,107,97
Lunatone,"Rock, Psychic",Meteorite Pokémon,1.0 m (3′03″),168.0 kg (370.4 lbs),1. Levitate,"45 (5.9% with PokéBall, full HP)",161,Fast,Genderless,90,55,65,95,85,70
Lurantis,Grass,Bloom Sickle Pokémon,0.9 m (2′11″),18.5 kg (40.8 lbs),"1. Leaf Guard, Contrary (hidden ability)","75 (9.8% with PokéBall, full HP)",168,Medium Fast,"50% male, 50% female",70,105,90,80,90,45
Luvdisc,Water,Rendezvous Pokémon,0.6 m (2′00″),8.7 kg (19.2 lbs),"1. Swift Swim, Hydration (hidden ability)","225 (29.4% with PokéBall, full HP)",116,Fast,"25% male, 75% female",43,30,55,40,65,97
Luxio,Electric,Spark Pokémon,0.9 m (2′11″),30.5 kg (67.2 lbs),"1. Rivalry, 2. Intimidate, Guts (hidden ability)","120 (15.7% with PokéBall, full HP)",127,Medium Slow,"50% male, 50% female",60,85,49,60,49,60
Luxray,Electric,Gleam Eyes Pokémon,1.4 m (4′07″),42.0 kg (92.6 lbs),"1. Rivalry, 2. Intimidate, Guts (hidden ability)","45 (5.9% with PokéBall, full HP)",262,Medium Slow,"50% male, 50% female",80,120,79,95,79,70
Lycanroc Midday Form,Rock,Wolf Pokémon,0.8 m (2′07″),25.0 kg (55.1 lbs),"1. Keen Eye, 2. Sand Rush, Steadfast (hidden ability)","90 (11.8% with PokéBall, full HP)",170,Medium Fast,"50% male, 50% female",75,115,65,55,65,112
Lycanroc Midnight Form,Rock,Wolf Pokémon,1.1 m (3′07″),25.0 kg (55.1 lbs),"1. Keen Eye, 2. Vital Spirit, No Guard (hidden ability)","90 (11.8% with PokéBall, full HP)",170,Medium Fast,"50% male, 50% female",85,115,75,55,75,82
Lycanroc Dusk Form,Rock,Wolf Pokémon,0.8 m (2′07″),25.0 kg (55.1 lbs),1. Tough Claws,"90 (11.8% with PokéBall, full HP)",170,Medium Fast,"50% male, 50% female",75,117,65,55,65,110
Mabosstiff,Dark,Boss Pokémon,1.1 m (3′07″),61.0 kg (134.5 lbs),"1. Intimidate, 2. Guard Dog, Stakeout (hidden ability)","75 (9.8% with PokéBall, full HP)",177,Medium Slow,"50% male, 50% female",80,120,90,60,70,85
Machamp,Fighting,Superpower Pokémon,1.6 m (5′03″),130.0 kg (286.6 lbs),"1. Guts, 2. No Guard, Steadfast (hidden ability)","45 (5.9% with PokéBall, full HP)",227,Medium Slow,"75% male, 25% female",90,130,80,65,85,55
Machoke,Fighting,Superpower Pokémon,1.5 m (4′11″),70.5 kg (155.4 lbs),"1. Guts, 2. No Guard, Steadfast (hidden ability)","90 (11.8% with PokéBall, full HP)",142,Medium Slow,"75% male, 25% female",80,100,70,50,60,45
Machop,Fighting,Superpower Pokémon,0.8 m (2′07″),19.5 kg (43.0 lbs),"1. Guts, 2. No Guard, Steadfast (hidden ability)","180 (23.5% with PokéBall, full HP)",61,Medium Slow,"75% male, 25% female",70,80,50,35,35,35
Magby,Fire,Live Coal Pokémon,0.7 m (2′04″),21.4 kg (47.2 lbs),"1. Flame Body, Vital Spirit (hidden ability)","45 (5.9% with PokéBall, full HP)",73,Medium Fast,"75% male, 25% female",45,75,37,70,55,83
Magcargo,"Fire, Rock",Lava Pokémon,0.8 m (2′07″),55.0 kg (121.3 lbs),"1. Magma Armor, 2. Flame Body, Weak Armor (hidden ability)","75 (9.8% with PokéBall, full HP)",151,Medium Fast,"50% male, 50% female",60,50,120,90,80,30
Magearna,"Steel, Fairy",Artificial Pokémon,1.0 m (3′03″),80.5 kg (177.5 lbs),1. Soul-Heart,"3 (0.4% with PokéBall, full HP)",300,Slow,Genderless,80,95,115,130,115,65
Magikarp,Water,Fish Pokémon,0.9 m (2′11″),10.0 kg (22.0 lbs),"1. Swift Swim, Rattled (hidden ability)","255 (33.3% with PokéBall, full HP)",40,Slow,"50% male, 50% female",20,10,55,15,20,80
Magmar,Fire,Spitfire Pokémon,1.3 m (4′03″),44.5 kg (98.1 lbs),"1. Flame Body, Vital Spirit (hidden ability)","45 (5.9% with PokéBall, full HP)",173,Medium Fast,"75% male, 25% female",65,95,57,100,85,93
Magmortar,Fire,Blast Pokémon,1.6 m (5′03″),68.0 kg (149.9 lbs),"1. Flame Body, Vital Spirit (hidden ability)","30 (3.9% with PokéBall, full HP)",243,Medium Fast,"75% male, 25% female",75,95,67,125,95,83
Magnemite,"Electric, Steel",Magnet Pokémon,0.3 m (1′00″),6.0 kg (13.2 lbs),"1. Magnet Pull, 2. Sturdy, Analytic (hidden ability)","190 (24.8% with PokéBall, full HP)",65,Medium Fast,Genderless,25,35,70,95,55,45
Magneton,"Electric, Steel",Magnet Pokémon,1.0 m (3′03″),60.0 kg (132.3 lbs),"1. Magnet Pull, 2. Sturdy, Analytic (hidden ability)","60 (7.8% with PokéBall, full HP)",163,Medium Fast,Genderless,50,60,95,120,70,70
Magnezone,"Electric, Steel",Magnet Area Pokémon,1.2 m (3′11″),180.0 kg (396.8 lbs),"1. Magnet Pull, 2. Sturdy, Analytic (hidden ability)","30 (3.9% with PokéBall, full HP)",268,Medium Fast,Genderless,70,70,115,130,90,60
Makuhita,Fighting,Guts Pokémon,1.0 m (3′03″),86.4 kg (190.5 lbs),"1. Thick Fat, 2. Guts, Sheer Force (hidden ability)","180 (23.5% with PokéBall, full HP)",47,Fluctuating,"75% male, 25% female",72,60,30,20,30,25
Malamar,"Dark, Psychic",Overturning Pokémon,1.5 m (4′11″),47.0 kg (103.6 lbs),"1. Contrary, 2. Suction Cups, Infiltrator (hidden ability)","80 (10.5% with PokéBall, full HP)",169,Medium Fast,"50% male, 50% female",86,92,88,68,75,73
Mamoswine,"Ice, Ground",Twin Tusk Pokémon,2.5 m (8′02″),291.0 kg (641.5 lbs),"1. Oblivious, 2. Snow Cloak, Thick Fat (hidden ability)","50 (6.5% with PokéBall, full HP)",239,Slow,"50% male, 50% female",110,130,80,70,60,80
Manaphy,Water,Seafaring Pokémon,0.3 m (1′00″),1.4 kg (3.1 lbs),1. Hydration,"3 (0.4% with PokéBall, full HP)",270,Slow,Genderless,100,100,100,100,100,100
Mandibuzz,"Dark, Flying",Bone Vulture Pokémon,1.2 m (3′11″),39.5 kg (87.1 lbs),"1. Big Pecks, 2. Overcoat, Weak Armor (hidden ability)","60 (7.8% with PokéBall, full HP)",179,Slow,"0% male, 100% female",110,65,105,55,95,80
Manectric,Electric,Discharge Pokémon,1.5 m (4′11″),40.2 kg (88.6 lbs),"1. Static, 2. Lightning Rod, Minus (hidden ability)","45 (5.9% with PokéBall, full HP)",166,Slow,"50% male, 50% female",70,75,60,105,60,105
Mankey,Fighting,Pig Monkey Pokémon,0.5 m (1′08″),28.0 kg (61.7 lbs),"1. Vital Spirit, 2. Anger Point, Defiant (hidden ability)","190 (24.8% with PokéBall, full HP)",61,Medium Fast,"50% male, 50% female",40,80,35,35,45,70
Mantine,"Water, Flying",Kite Pokémon,2.1 m (6′11″),220.0 kg (485.0 lbs),"1. Swift Swim, 2. Water Absorb, Water Veil (hidden ability)","25 (3.3% with PokéBall, full HP)",170,Slow,"50% male, 50% female",85,40,70,80,140,70
Mantyke,"Water, Flying",Kite Pokémon,1.0 m (3′03″),65.0 kg (143.3 lbs),"1. Swift Swim, 2. Water Absorb, Water Veil (hidden ability)","25 (3.3% with PokéBall, full HP)",69,Slow,"50% male, 50% female",45,20,50,60,120,50
Maractus,Grass,Cactus Pokémon,1.0 m (3′03″),28.0 kg (61.7 lbs),"1. Water Absorb, 2. Chlorophyll, Storm Drain (hidden ability)","255 (33.3% with PokéBall, full HP)",161,Medium Fast,"50% male, 50% female",75,86,67,106,67,60
Mareanie,"Poison, Water",Brutal Star Pokémon,0.4 m (1′04″),8.0 kg (17.6 lbs),"1. Merciless, 2. Limber, Regenerator (hidden ability)","190 (24.8% with PokéBall, full HP)",61,Medium Fast,"50% male, 50% female",50,53,62,43,52,45
Mareep,Electric,Wool Pokémon,0.6 m (2′00″),7.8 kg (17.2 lbs),"1. Static, Plus (hidden ability)","235 (30.7% with PokéBall, full HP)",56,Medium Slow,"50% male, 50% female",55,40,40,65,45,35
Marill,"Water, Fairy",Aqua Mouse Pokémon,0.4 m (1′04″),8.5 kg (18.7 lbs),"1. Thick Fat, 2. Huge Power, Sap Sipper (hidden ability)","190 (24.8% with PokéBall, full HP)",88,Fast,"50% male, 50% female",70,20,50,20,50,40
Marowak,Ground,Bone Keeper Pokémon,1.0 m (3′03″),45.0 kg (99.2 lbs),"1. Rock Head, 2. Lightning Rod, Battle Armor (hidden ability)","75 (9.8% with PokéBall, full HP)",149,Medium Fast,"50% male, 50% female",60,80,110,50,80,45
Alolan Marowak,"Fire, Ghost",Bone Keeper Pokémon,1.0 m (3′03″),34.0 kg (75.0 lbs),"1. Cursed Body, 2. Lightning Rod, Rock Head (hidden ability)","75 (9.8% with PokéBall, full HP)",149,Medium Fast,"50% male, 50% female",60,80,110,50,80,45
Marshadow,"Fighting, Ghost",Gloomdweller Pokémon,0.7 m (2′04″),22.2 kg (48.9 lbs),1. Technician,"3 (0.4% with PokéBall, full HP)",270,Slow,Genderless,90,125,80,90,90,125
Marshtomp,"Water, Ground",Mud Fish Pokémon,0.7 m (2′04″),28.0 kg (61.7 lbs),"1. Torrent, Damp (hidden ability)","45 (5.9% with PokéBall, full HP)",142,Medium Slow,"87.5% male, 12.5% female",70,85,70,60,70,50
Maschiff,Dark,Rascal Pokémon,0.5 m (1′08″),16.0 kg (35.3 lbs),"1. Intimidate, 2. Run Away, Stakeout (hidden ability)","150 (19.6% with PokéBall, full HP)",68,Medium Slow,"50% male, 50% female",60,78,60,40,51,51
Masquerain,"Bug, Flying",Eyeball Pokémon,0.8 m (2′07″),3.6 kg (7.9 lbs),"1. Intimidate, Unnerve (hidden ability)","75 (9.8% with PokéBall, full HP)",159,Medium Fast,"50% male, 50% female",70,60,62,100,82,80
Maushold Family of Four,Normal,Family Pokémon,0.3 m (1′00″),2.8 kg (6.2 lbs),"1. Friend Guard, 2. Cheek Pouch, Technician (hidden ability)","75 (9.8% with PokéBall, full HP)",165,Fast,Genderless,74,75,70,65,75,111
Maushold Family of Three,Normal,Family Pokémon,0.3 m (1′00″),2.3 kg (5.1 lbs),"1. Friend Guard, 2. Cheek Pouch, Technician (hidden ability)","75 (9.8% with PokéBall, full HP)",165,Fast,Genderless,74,75,70,65,75,111
Mawile,"Steel, Fairy",Deceiver Pokémon,0.6 m (2′00″),11.5 kg (25.4 lbs),"1. Hyper Cutter, 2. Intimidate, Sheer Force (hidden ability)","45 (5.9% with PokéBall, full HP)",133,Fast,"50% male, 50% female",50,85,85,55,55,50
Medicham,"Fighting, Psychic",Meditate Pokémon,1.3 m (4′03″),31.5 kg (69.4 lbs),"1. Pure Power, Telepathy (hidden ability)","90 (11.8% with PokéBall, full HP)",144,Medium Fast,"50% male, 50% female",60,60,75,60,75,80
Meditite,"Fighting, Psychic",Meditate Pokémon,0.6 m (2′00″),11.2 kg (24.7 lbs),"1. Pure Power, Telepathy (hidden ability)","180 (23.5% with PokéBall, full HP)",56,Medium Fast,"50% male, 50% female",30,40,55,40,55,60
Meganium,Grass,Herb Pokémon,1.8 m (5′11″),100.5 kg (221.6 lbs),"1. Overgrow, Leaf Guard (hidden ability)","45 (5.9% with PokéBall, full HP)",236,Medium Slow,"87.5% male, 12.5% female",80,82,100,83,100,80
Melmetal,Steel,Hex Nut Pokémon,2.5 m (8′02″),800.0 kg (1763.7 lbs),1. Iron Fist,"3 (0.4% with PokéBall, full HP)",300,Slow,Genderless,135,143,143,80,65,34
Meloetta Aria Forme,"Normal, Psychic",Melody Pokémon,0.6 m (2′00″),6.5 kg (14.3 lbs),1. Serene Grace,"3 (0.4% with PokéBall, full HP)",300,Slow,Genderless,100,77,77,128,128,90
Meloetta Pirouette Forme,"Normal, Fighting",Melody Pokémon,0.6 m (2′00″),6.5 kg (14.3 lbs),1. Serene Grace,"3 (0.4% with PokéBall, full HP)",300,Slow,Genderless,100,128,90,77,77,128
Meltan,Steel,Hex Nut Pokémon,0.2 m (0′08″),8.0 kg (17.6 lbs),1. Magnet Pull,"3 (0.4% with PokéBall, full HP)",150,Slow,Genderless,46,65,65,55,35,34
Meowscarada,"Grass, Dark",Magician Pokémon,1.5 m (4′11″),31.2 kg (68.8 lbs),"1. Overgrow, Protean (hidden ability)","45 (5.9% with PokéBall, full HP)",265,Medium Slow,"87.5% male, 12.5% female",76,110,70,81,70,123
Meowstic Male,Psychic,Constraint Pokémon,0.6 m (2′00″),8.5 kg (18.7 lbs),"1. Keen Eye, 2. Infiltrator, Prankster (hidden ability)","75 (9.8% with PokéBall, full HP)",163,Medium Fast,"100% male, 0% female",74,48,76,83,81,104
Meowstic Female,Psychic,Constraint Pokémon,0.6 m (2′00″),8.5 kg (18.7 lbs),"1. Keen Eye, 2. Infiltrator, Competitive (hidden ability)","75 (9.8% with PokéBall, full HP)",163,Medium Fast,"0% male, 100% female",74,48,76,83,81,104
Meowth,Normal,Scratch Cat Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),"1. Pickup, 2. Technician, Unnerve (hidden ability)","255 (33.3% with PokéBall, full HP)",58,Medium Fast,"50% male, 50% female",40,45,35,40,40,90
Alolan Meowth,Dark,Scratch Cat Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),"1. Pickup, 2. Technician, Rattled (hidden ability)","255 (33.3% with PokéBall, full HP)",58,Medium Fast,"50% male, 50% female",40,35,35,50,40,90
Galarian Meowth,Steel,Scratch Cat Pokémon,0.4 m (1′04″),7.5 kg (16.5 lbs),"1. Pickup, 2. Tough Claws, Unnerve (hidden ability)","255 (33.3% with PokéBall, full HP)",58,Medium Fast,"50% male, 50% female",50,65,55,40,40,40
Mesprit,Psychic,Emotion Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),1. Levitate,"3 (0.4% with PokéBall, full HP)",290,Slow,Genderless,80,105,105,105,105,80
Metagross,"Steel, Psychic",Iron Leg Pokémon,1.6 m (5′03″),550.0 kg (1212.5 lbs),"1. Clear Body, Light Metal (hidden ability)","3 (0.4% with PokéBall, full HP)",270,Slow,Genderless,80,135,130,95,90,70
Metang,"Steel, Psychic",Iron Claw Pokémon,1.2 m (3′11″),202.5 kg (446.4 lbs),"1. Clear Body, Light Metal (hidden ability)","3 (0.4% with PokéBall, full HP)",147,Slow,Genderless,60,75,100,55,80,50
Metapod,Bug,Cocoon Pokémon,0.7 m (2′04″),9.9 kg (21.8 lbs),1. Shed Skin,"120 (15.7% with PokéBall, full HP)",72,Medium Fast,"50% male, 50% female",50,20,55,25,25,30
Mew,Psychic,New Species Pokémon,0.4 m (1′04″),4.0 kg (8.8 lbs),1. Synchronize,"45 (5.9% with PokéBall, full HP)",300,Medium Slow,Genderless,100,100,100,100,100,100
Mewtwo,Psychic,Genetic Pokémon,2.0 m (6′07″),122.0 kg (269.0 lbs),"1. Pressure, Unnerve (hidden ability)","3 (0.4% with PokéBall, full HP)",340,Slow,Genderless,106,110,90,154,90,130
Mienfoo,Fighting,Martial Arts Pokémon,0.9 m (2′11″),20.0 kg (44.1 lbs),"1. Inner Focus, 2. Regenerator, Reckless (hidden ability)","180 (23.5% with PokéBall, full HP)",70,Medium Slow,"50% male, 50% female",45,85,50,55,50,65
Mienshao,Fighting,Martial Arts Pokémon,1.4 m (4′07″),35.5 kg (78.3 lbs),"1. Inner Focus, 2. Regenerator, Reckless (hidden ability)","45 (5.9% with PokéBall, full HP)",179,Medium Slow,"50% male, 50% female",65,125,60,95,60,105
Mightyena,Dark,Bite Pokémon,1.0 m (3′03″),37.0 kg (81.6 lbs),"1. Intimidate, 2. Quick Feet, Moxie (hidden ability)","127 (16.6% with PokéBall, full HP)",147,Medium Fast,"50% male, 50% female",70,90,70,60,60,70
Milcery,Fairy,Cream Pokémon,0.2 m (0′08″),0.3 kg (0.7 lbs),"1. Sweet Veil, Aroma Veil (hidden ability)","200 (26.1% with PokéBall, full HP)",54,Medium Fast,"0% male, 100% female",45,40,40,50,61,34
Milotic,Water,Tender Pokémon,6.2 m (20′04″),162.0 kg (357.1 lbs),"1. Marvel Scale, 2. Competitive, Cute Charm (hidden ability)","60 (7.8% with PokéBall, full HP)",189,Erratic,"50% male, 50% female",95,60,79,100,125,81
Miltank,Normal,Milk Cow Pokémon,1.2 m (3′11″),75.5 kg (166.4 lbs),"1. Thick Fat, 2. Scrappy, Sap Sipper (hidden ability)","45 (5.9% with PokéBall, full HP)",172,Slow,"0% male, 100% female",95,80,105,40,70,100
Mime Jr.,"Psychic, Fairy",Mime Pokémon,0.6 m (2′00″),13.0 kg (28.7 lbs),"1. Soundproof, 2. Filter, Technician (hidden ability)","145 (19.0% with PokéBall, full HP)",62,Medium Fast,"50% male, 50% female",20,25,45,70,90,60
Mimikyu,"Ghost, Fairy",Disguise Pokémon,0.2 m (0′08″),0.7 kg (1.5 lbs),1. Disguise,"45 (5.9% with PokéBall, full HP)",167,Medium Fast,"50% male, 50% female",55,90,80,50,105,96
Minccino,Normal,Chinchilla Pokémon,0.4 m (1′04″),5.8 kg (12.8 lbs),"1. Cute Charm, 2. Technician, Skill Link (hidden ability)","255 (33.3% with PokéBall, full HP)",60,Fast,"25% male, 75% female",55,50,40,40,40,75
Minior Meteor Form,"Rock, Flying",Meteor Pokémon,0.3 m (1′00″),40.0 kg (88.2 lbs),1. Shields Down,"30 (3.9% with PokéBall, full HP)",154,Medium Slow,Genderless,60,60,100,60,100,60
Minior Core Form,"Rock, Flying",Meteor Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),1. Shields Down,"30 (3.9% with PokéBall, full HP)",175,Medium Slow,Genderless,60,100,60,100,60,120
Minun,Electric,Cheering Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),"1. Minus, Volt Absorb (hidden ability)","200 (26.1% with PokéBall, full HP)",142,Medium Fast,"50% male, 50% female",60,40,50,75,85,95
Miraidon,"Electric, Dragon",Paradox Pokémon,3.5 m (11′06″),240.0 kg (529.1 lbs),1. Hadron Engine,"3 (0.4% with PokéBall, full HP)",335,Slow,Genderless,100,85,100,135,115,135
Misdreavus,Ghost,Screech Pokémon,0.7 m (2′04″),1.0 kg (2.2 lbs),1. Levitate,"45 (5.9% with PokéBall, full HP)",87,Fast,"50% male, 50% female",60,60,60,85,85,85
Mismagius,Ghost,Magical Pokémon,0.9 m (2′11″),4.4 kg (9.7 lbs),1. Levitate,"45 (5.9% with PokéBall, full HP)",173,Fast,"50% male, 50% female",60,60,60,105,105,105
Moltres,"Fire, Flying",Flame Pokémon,2.0 m (6′07″),60.0 kg (132.3 lbs),"1. Pressure, Flame Body (hidden ability)","3 (0.4% with PokéBall, full HP)",290,Slow,Genderless,90,100,90,125,85,90
Galarian Moltres,"Dark, Flying",Malevolent Pokémon,2.0 m (6′07″),66.0 kg (145.5 lbs),1. Berserk,"3 (0.4% with PokéBall, full HP)",290,Slow,Genderless,90,85,90,100,125,90
Monferno,"Fire, Fighting",Playful Pokémon,0.9 m (2′11″),22.0 kg (48.5 lbs),"1. Blaze, Iron Fist (hidden ability)","45 (5.9% with PokéBall, full HP)",142,Medium Slow,"87.5% male, 12.5% female",64,78,52,78,52,81
Morelull,"Grass, Fairy",Illuminating Pokémon,0.2 m (0′08″),1.5 kg (3.3 lbs),"1. Illuminate, 2. Effect Spore, Rain Dish (hidden ability)","190 (24.8% with PokéBall, full HP)",57,Medium Fast,"50% male, 50% female",40,35,55,65,75,15
Morgrem,"Dark, Fairy",Devious Pokémon,0.8 m (2′07″),12.5 kg (27.6 lbs),"1. Prankster, 2. Frisk, Pickpocket (hidden ability)","120 (15.7% with PokéBall, full HP)",130,Medium Fast,"100% male, 0% female",65,60,45,75,55,70
Morpeko Full Belly Mode,"Electric, Dark",Two-Sided Pokémon,0.3 m (1′00″),3.0 kg (6.6 lbs),1. Hunger Switch,"180 (23.5% with PokéBall, full HP)",153,Medium Fast,"50% male, 50% female",58,95,58,70,58,97
Morpeko Hangry Mode,"Electric, Dark",Two-Sided Pokémon,0.3 m (1′00″),3.0 kg (6.6 lbs),1. Hunger Switch,"180 (23.5% with PokéBall, full HP)",153,Medium Fast,"50% male, 50% female",58,95,58,70,58,97
Mothim,"Bug, Flying",Moth Pokémon,0.9 m (2′11″),23.3 kg (51.4 lbs),"1. Swarm, Tinted Lens (hidden ability)","45 (5.9% with PokéBall, full HP)",148,Medium Fast,"100% male, 0% female",70,94,50,94,50,66
Mr. Mime,"Psychic, Fairy",Barrier Pokémon,1.3 m (4′03″),54.5 kg (120.2 lbs),"1. Soundproof, 2. Filter, Technician (hidden ability)","45 (5.9% with PokéBall, full HP)",161,Medium Fast,"50% male, 50% female",40,45,65,100,120,90
Galarian Mr. Mime,"Ice, Psychic",Dancing Pokémon,1.4 m (4′07″),56.8 kg (125.2 lbs),"1. Vital Spirit, 2. Screen Cleaner, Ice Body (hidden ability)","45 (5.9% with PokéBall, full HP)",161,Medium Fast,"50% male, 50% female",50,65,65,90,90,100
Mr. Rime,"Ice, Psychic",Comedian Pokémon,1.5 m (4′11″),58.2 kg (128.3 lbs),"1. Tangled Feet, 2. Screen Cleaner, Ice Body (hidden ability)","45 (5.9% with PokéBall, full HP)",182,Medium Fast,"50% male, 50% female",80,85,75,110,100,70
Mudbray,Ground,Donkey Pokémon,1.0 m (3′03″),110.0 kg (242.5 lbs),"1. Own Tempo, 2. Stamina, Inner Focus (hidden ability)","190 (24.8% with PokéBall, full HP)",77,Medium Fast,"50% male, 50% female",70,100,70,45,55,45
Mudkip,Water,Mud Fish Pokémon,0.4 m (1′04″),7.6 kg (16.8 lbs),"1. Torrent, Damp (hidden ability)","45 (5.9% with PokéBall, full HP)",62,Medium Slow,"87.5% male, 12.5% female",50,70,50,50,50,40
Mudsdale,Ground,Draft Horse Pokémon,2.5 m (8′02″),920.0 kg (2028.3 lbs),"1. Own Tempo, 2. Stamina, Inner Focus (hidden ability)","60 (7.8% with PokéBall, full HP)",175,Medium Fast,"50% male, 50% female",100,125,100,55,85,35
Muk,Poison,Sludge Pokémon,1.2 m (3′11″),30.0 kg (66.1 lbs),"1. Stench, 2. Sticky Hold, Poison Touch (hidden ability)","75 (9.8% with PokéBall, full HP)",175,Medium Fast,"50% male, 50% female",105,105,75,65,100,50
Alolan Muk,"Poison, Dark",Sludge Pokémon,1.0 m (3′03″),52.0 kg (114.6 lbs),"1. Poison Touch, 2. Gluttony, Power of Alchemy (hidden ability)","75 (9.8% with PokéBall, full HP)",175,Medium Fast,"50% male, 50% female",105,105,75,65,100,50
Munchlax,Normal,Big Eater Pokémon,0.6 m (2′00″),105.0 kg (231.5 lbs),"1. Pickup, 2. Thick Fat, Gluttony (hidden ability)","50 (6.5% with PokéBall, full HP)",78,Slow,"87.5% male, 12.5% female",135,85,40,40,85,5
Munkidori,"Poison, Psychic",Retainer Pokémon,1.0 m (3′03″),12.2 kg (26.9 lbs),"1. Toxic Chain, Frisk (hidden ability)","3 (0.4% with PokéBall, full HP)",—,Slow,"100% male, 0% female",88,75,66,130,90,106
Munna,Psychic,Dream Eater Pokémon,0.6 m (2′00″),23.3 kg (51.4 lbs),"1. Forewarn, 2. Synchronize, Telepathy (hidden ability)","190 (24.8% with PokéBall, full HP)",58,Fast,"50% male, 50% female",76,25,45,67,55,24
Murkrow,"Dark, Flying",Darkness Pokémon,0.5 m (1′08″),2.1 kg (4.6 lbs),"1. Insomnia, 2. Super Luck, Prankster (hidden ability)","30 (3.9% with PokéBall, full HP)",81,Medium Slow,"50% male, 50% female",60,85,42,85,42,91
Musharna,Psychic,Drowsing Pokémon,1.1 m (3′07″),60.5 kg (133.4 lbs),"1. Forewarn, 2. Synchronize, Telepathy (hidden ability)","75 (9.8% with PokéBall, full HP)",170,Fast,"50% male, 50% female",116,55,85,107,95,29
Nacli,Rock,Rock Salt Pokémon,0.4 m (1′04″),16.0 kg (35.3 lbs),"1. Purifying Salt, 2. Sturdy, Clear Body (hidden ability)","255 (33.3% with PokéBall, full HP)",56,Medium Slow,"50% male, 50% female",55,55,75,35,35,25
Naclstack,Rock,Rock Salt Pokémon,0.6 m (2′00″),105.0 kg (231.5 lbs),"1. Purifying Salt, 2. Sturdy, Clear Body (hidden ability)","120 (15.7% with PokéBall, full HP)",124,Medium Slow,"50% male, 50% female",60,60,100,35,65,35
Naganadel,"Poison, Dragon",Poison Pin Pokémon,3.6 m (11′10″),150.0 kg (330.7 lbs),1. Beast Boost,"45 (5.9% with PokéBall, full HP)",243,Slow,Genderless,73,73,73,127,73,121
Natu,"Psychic, Flying",Tiny Bird Pokémon,0.2 m (0′08″),2.0 kg (4.4 lbs),"1. Synchronize, 2. Early Bird, Magic Bounce (hidden ability)","190 (24.8% with PokéBall, full HP)",64,Medium Fast,"50% male, 50% female",40,50,45,70,45,70
Necrozma,Psychic,Prism Pokémon,2.4 m (7′10″),230.0 kg (507.1 lbs),1. Prism Armor,"255 (33.3% with PokéBall, full HP)",270,Slow,Genderless,97,107,101,127,89,79
Dusk Mane Necrozma,"Psychic, Steel",Prism Pokémon,3.8 m (12′06″),460.0 kg (1014.1 lbs),1. Prism Armor,"3 (0.4% with PokéBall, full HP)",306,Slow,Genderless,97,157,127,113,109,77
Dawn Wings Necrozma,"Psychic, Ghost",Prism Pokémon,4.2 m (13′09″),350.0 kg (771.6 lbs),1. Prism Armor,"3 (0.4% with PokéBall, full HP)",306,Slow,Genderless,97,113,109,157,127,77
Ultra Necrozma,"Psychic, Dragon",Prism Pokémon,7.5 m (24′07″),230.0 kg (507.1 lbs),1. Neuroforce,"3 (0.4% with PokéBall, full HP)",339,Slow,Genderless,97,167,97,167,97,129
Nickit,Dark,Fox Pokémon,0.6 m (2′00″),8.9 kg (19.6 lbs),"1. Run Away, 2. Unburden, Stakeout (hidden ability)","255 (33.3% with PokéBall, full HP)",49,Fast,"50% male, 50% female",40,28,28,47,52,50
